algoritme,score,housecount,water,iteratie,score,,
Random,23275320,60,"[[13, 260, 103, 4]]",145,23275320,,
Random,23275590,60,"[[87, 119, 327, 23]]",146,23275590,,
Random,23275740,60,"[[60, 304, 240, 176]]",147,23275740,,
Random,23276040,60,"[[61, 138, 101, 67], [73, 284, 107, 259], [140, 199, 355, 109]]",148,23276040,,
Random,23276055,60,"[[0, 238, 35, 208], [140, 154, 347, 70], [158, 254, 217, 176]]",149,23276055,,
Random,23276460,60,"[[42, 134, 109, 62], [55, 318, 187, 180]]",150,23276460,,
Random,23276970,60,"[[127, 297, 255, 117]]",151,23276970,,
Random,23276985,60,"[[70, 266, 160, 10]]",152,23276985,,
Random,23277540,60,"[[211, 269, 339, 89]]",153,23277540,,
Random,23277810,60,"[[123, 317, 303, 189]]",154,23277810,,
Random,23278425,60,"[[90, 311, 186, 71]]",155,23278425,,
Random,23278740,60,"[[109, 300, 237, 120]]",156,23278740,,
Random,23278995,60,"[[123, 309, 203, 21]]",157,23278995,,
Random,23279400,60,"[[76, 264, 256, 136]]",158,23279400,,
Random,23279700,60,"[[127, 211, 223, 79], [112, 288, 256, 216]]",159,23279700,,
Random,23280270,60,"[[46, 214, 195, 70], [327, 213, 349, 141]]",160,23280270,,
Random,23280435,60,"[[9, 245, 102, 165], [10, 144, 111, 12], [169, 257, 253, 230]]",161,23280435,,
Random,23280465,60,"[[38, 302, 294, 212]]",162,23280465,,
Random,23280540,60,"[[19, 307, 141, 155], [259, 205, 340, 157], [224, 264, 262, 248]]",163,23280540,,
Random,23281185,60,"[[15, 313, 159, 153]]",164,23281185,,
Random,23282370,60,"[[86, 192, 212, 11], [265, 88, 291, 79]]",165,23282370,,
Random,23282895,60,"[[78, 52, 90, 41], [105, 181, 271, 43]]",166,23282895,,
Random,23284035,60,"[[52, 297, 172, 105]]",167,23284035,,
Random,23284200,60,"[[23, 175, 123, 114], [260, 312, 337, 92]]",168,23284200,,
Random,23284275,60,"[[153, 277, 273, 85]]",169,23284275,,
Random,23284320,60,"[[42, 234, 162, 42]]",170,23284320,,
Random,23285445,60,"[[226, 242, 346, 50]]",171,23285445,,
Random,23287365,60,"[[44, 311, 70, 265], [104, 193, 231, 21]]",172,23287365,,
Random,23288070,60,"[[242, 100, 260, 29], [162, 302, 279, 116]]",173,23288070,,
Random,23289645,60,"[[228, 266, 324, 26]]",174,23289645,,
Random,23289945,60,"[[178, 224, 322, 64]]",175,23289945,,
Random,23290215,60,"[[76, 99, 148, 43], [247, 280, 335, 64]]",176,23290215,,
Random,23291250,60,"[[177, 212, 234, 24], [123, 197, 164, 173], [100, 310, 226, 220]]",177,23291250,,
Random,23292390,60,"[[106, 171, 185, 3], [179, 302, 327, 236]]",178,23292390,,
Random,23292405,60,"[[17, 241, 209, 121]]",179,23292405,,
Random,23294130,60,"[[159, 234, 255, 48], [96, 256, 144, 148]]",180,23294130,,
Random,23294850,60,"[[236, 249, 332, 9]]",181,23294850,,
Random,23296080,60,"[[147, 204, 275, 24]]",182,23296080,,
Random,23296125,60,"[[207, 207, 351, 47]]",183,23296125,,
Random,23298165,60,"[[98, 158, 290, 38]]",184,23298165,,
Random,23298210,60,"[[64, 266, 352, 186]]",185,23298210,,
Random,23298915,60,"[[32, 320, 160, 140]]",186,23298915,,
Random,23298915,60,"[[62, 303, 350, 223]]",187,23298915,,
Random,23299755,60,"[[277, 294, 343, 146], [247, 88, 294, 52], [125, 101, 224, 1], [219, 188, 259, 146]]",188,23299755,,
Random,23299995,60,"[[84, 265, 244, 121]]",189,23299995,,
Random,23300370,60,"[[181, 296, 325, 136]]",190,23300370,,
Random,23301075,60,"[[50, 203, 125, 76], [138, 217, 297, 132]]",191,23301075,,
